Lemma,SFI Rank,SFI,Adjusted Frequency per Million (U),意味,例文,,
surely,1676,56.66,46,(副) きっと、確かに,Surely you're not serious? (まさか本気じゃないでしょう？),,
guard,1677,56.66,46,(動) 守る、警備する (名) 警備員、監視,The police guard the building. (警察はその建物を警備している。),,
cat,1678,56.65,46,(名) 猫,My cat loves to sleep. (私の猫は寝るのが大好きだ。),,
somewhat,1679,56.65,46,(副) いくぶん、多少,I'm somewhat tired today. (今日はいくぶん疲れている。),,
kiss,1680,56.64,46,(動) キスをする (名) キス,He gave his daughter a kiss. (彼は娘にキスをした。),,
presentation,1681,56.64,46,(名) プレゼンテーション、発表,Her presentation was very informative. (彼女のプレゼンテーションはとても有益だった。),,
joint,1682,56.64,46,(形) 共同の、連結した (名) 関節、共同,They made a joint decision. (彼らは共同で決定した。),,
compete,1683,56.64,46,(動) 競争する、張り合う,He likes to compete in sports. (彼はスポーツで競争するのが好きだ。),,
poll,1684,56.64,46,(名) 世論調査、投票 (動) 投票する,A recent poll showed public support for the plan. (最近の世論調査でその計画への国民の支持が示された。),,
weak,1685,56.63,46,(形) 弱い、不十分な,She felt weak after the illness. (彼女は病気の後、体が弱っていると感じた。),,
faith,1686,56.63,46,(名) 信頼、信仰,I have great faith in him. (私は彼を深く信頼している。),,
reduction,1687,56.62,46,(名) 削減、減少,There was a significant reduction in crime. (犯罪が著しく減少した。),,
reserve,1688,56.61,46,(動) 予約する、確保する (名) 蓄え、予備,I'd like to reserve a table for two. (2人分のテーブルを予約したいのですが。),,
complaint,1689,56.61,46,(名) 不平、苦情,We received several complaints about the service. (サービスについていくつか苦情を受け取った。),,
bore,1690,56.6,46,(動) 退屈させる (名) 退屈な人/こと,The lecture began to bore me. (その講義は私を退屈させ始めた。),,
mission,1691,56.6,46,(名) 使命、任務,Their mission is to help the poor. (彼らの使命は貧しい人々を助けることだ。),,
somehow,1692,56.59,46,(副) どうにかして、なぜか,I'll somehow manage to finish it. (どうにかしてそれを終えるつもりだ。),,
tone,1693,56.59,46,(名) 音色、調子、口調,His tone of voice was very kind. (彼の声のトーンはとても優しかった。),,
neighborhood,1694,56.59,46,(名) 近所、地域,She lives in a friendly neighborhood. (彼女はフレンドリーな近所に住んでいる。),,
passenger,1695,56.59,46,(名) 乗客,All passengers must fasten their seatbelts. (全ての乗客はシートベルトを着用しなければならない。),,
justice,1696,56.58,46,(名) 正義、公正、裁判,He fought for justice. (彼は正義のために戦った。),,
phase,1697,56.58,46,(名) 段階、局面,We are in the final phase of the project. (私たちはプロジェクトの最終段階にいる。),,
thin,1698,56.58,46,(形) 薄い、細い、痩せた,He is tall and thin. (彼は背が高くて痩せている。),,
rush,1699,56.58,45,(動) 急ぐ、突進する (名) 混雑、急ぎ,Don't rush your decision. (決断を急がないで。),,
formal,1700,56.57,45,(形) 正式な、形式的な,She wore a formal dress to the party. (彼女はパーティーにフォーマルなドレスを着ていった。),,
religion,1701,56.57,45,(名) 宗教,Freedom of religion is important. (信教の自由は重要だ。),,
employer,1702,56.57,45,(名) 雇い主、使用者,Her employer offers good benefits. (彼女の雇い主は良い福利厚生を提供している。),,
reject,1703,56.56,45,(動) 拒否する、却下する,They rejected our proposal. (彼らは私たちの提案を却下した。),,
latter,1704,56.56,45,(形) 後者の、終わりのほうの,He chose the latter option. (彼は後者の選択肢を選んだ。),,
plate,1705,56.56,45,(名) 皿、プレート,Please put the plates on the table. (お皿をテーブルに置いてください。),,
ban,1706,56.55,45,(動) 禁止する (名) 禁止,Smoking is banned in this building. (この建物では喫煙が禁止されている。),,
steal,1707,56.55,45,(動) 盗む,Someone stole my wallet. (誰かが私の財布を盗んだ。),,
protest,1708,56.55,45,(名) 抗議 (動) 抗議する,They held a protest against the new law. (彼らは新しい法律に反対する抗議を行った。),,
index,1709,56.55,45,(名) 指数、指標、索引 (動) 索引をつける,The stock market index rose today. (今日の株式市場指数は上昇した。),,
sad,1710,56.54,45,(形) 悲しい、残念な,She felt sad after hearing the news. (彼女はその知らせを聞いて悲しくなった。),,
frequently,1711,56.54,45,(副) しばしば、頻繁に,He frequently visits his grandmother. (彼は頻繁に祖母を訪ねる。),,
circle,1712,56.54,45,(名) 円、輪 (動) 囲む、旋回する,Draw a circle on the paper. (紙に円を描いてください。),,
helpful,1713,56.53,45,(形) 役立つ、助けになる,Thank you for your helpful advice. (あなたの役に立つアドバイスに感謝します。),,
command,1714,56.53,45,(名) 命令、指揮 (動) 命令する、指揮する,The general gave a command to his soldiers. (将軍は兵士に命令を下した。),,
attractive,1715,56.52,45,(形) 魅力的な、引きつける,She is a very attractive woman. (彼女はとても魅力的な女性だ。),,
sick,1716,56.52,45,(形) 病気の、気分が悪い,He called in sick today. (彼は今日、病気で欠勤すると連絡した。),,
impression,1717,56.51,45,(名) 印象、感銘,She made a good impression on her boss. (彼女は上司に良い印象を与えた。),,
unable,1718,56.51,45,(形) できない、不可能で,I was unable to open the door. (私はドアを開けることができなかった。),,
joke,1719,56.51,45,(名) ジョーク、冗談 (動) 冗談を言う,He told a funny joke. (彼は面白いジョークを言った。),,
sky,1720,56.51,45,(名) 空,The sky is blue today. (今日は空が青い。),,
column,1721,56.51,45,(名) 柱、コラム、欄,Please fill in the last column. (最後の欄に記入してください。),,
electronic,1722,56.51,45,(形) 電子の、電子的な,He bought a new electronic device. (彼は新しい電子機器を買った。),,
impose,1723,56.5,45,(動) (義務などを)課す、押しつける,They imposed a new tax on imports. (彼らは輸入品に新しい税金を課した。),,
criminal,1724,56.49,45,(名) 犯罪者 (形) 犯罪の、刑事の,The criminal was caught by the police. (その犯罪者は警察に捕まった。),,
besides,1725,56.47,44,(副) その上、さらに (前) ～のほかに,I don't want to go, and besides, I'm too tired. (行きたくないし、その上、疲れすぎている。)
properly,1726,56.46,44,(副) 適切に、きちんと,Make sure you do the job properly. (仕事をきちんとこなすようにしてください。),,
ancient,1727,56.46,44,(形) 古代の、昔の,This is an ancient city. (これは古代の都市だ。),,
coast,1728,56.45,44,(名) 海岸、沿岸,We drove along the coast. (私たちは海岸沿いをドライブした。),,
ill,1729,56.45,44,(形) 病気の、具合が悪い,She was too ill to go to work. (彼女は具合が悪すぎて仕事に行けなかった。),,
kick,1730,56.45,44,(動) 蹴る (名) キック,He kicked the ball into the net. (彼はボールをネットに蹴り入れた。),,
closely,1731,56.45,44,(副) 密接に、注意深く,He observed the situation closely. (彼は状況を注意深く観察した。),,
multiple,1732,56.45,44,(形) 多数の、多様な,The problem has multiple solutions. (その問題には複数の解決策がある。),,
yield,1733,56.44,44,(動) 生み出す、譲る (名) 収穫、産出量,This land yields good crops. (この土地は良い作物を産出する。),,
via,1734,56.44,44,(前) ～経由で、～によって,I sent the document via email. (私はメールでその書類を送った。),,
legislation,1735,56.44,44,(名) 法律、法制,New legislation was passed last month. (新しい法律が先月可決された。),,
county,1736,56.43,44,(名) 郡,He lives in the next county. (彼は隣の郡に住んでいる。),,
unlike,1737,56.42,44,(前) ～と違って (形) 似ていない,Unlike his brother, he is very quiet. (彼の兄と違って、彼はとても静かだ。),
mobile,1738,56.42,44,(形) 移動式の、携帯の (名) 携帯電話,She uses her mobile phone constantly. (彼女は常に携帯電話を使っている。),,
assistant,1739,56.42,44,(名) 助手、アシスタント,She works as a personal assistant. (彼女は個人アシスタントとして働いている。),,
implement,1740,56.41,44,(動) 実行する、実施する (名) 道具、器具,The company decided to implement the new policy. (その会社は新しい方針を実施することを決定した。),,
chart,1741,56.41,44,(名) 図表、グラフ (動) 図表にする,The chart shows the sales figures. (その図表は売上高を示している。),,
attach,1742,56.4,44,(動) 添付する、くっつける,Please attach your resume to the email. (履歴書をメールに添付してください。),,
hell,1743,56.4,44,(名) 地獄、ひどい状況,This job is hell. (この仕事は地獄だ。),,
everywhere,1744,56.39,44,(副) あらゆる所に、どこでも,I looked everywhere for my keys. (鍵をあらゆる所で探した。),,
advise,1745,56.39,44,(動) 助言する、忠告する,I advise you to be careful. (注意するように助言します。),,
household,1746,56.39,44,(名) 家庭、世帯 (形) 家庭の,She manages the household finances. (彼女は家計を管理している。),,
acknowledge,1747,56.39,44,(動) 認める、承認する,He acknowledged his mistake. (彼は自分の間違いを認めた。),,
reward,1748,56.38,43,(名) 報酬、褒美 (動) 報いる,His hard work was rewarded. (彼の努力は報われた。),,
east,1749,56.38,43,(名) 東 (形) 東の (副) 東へ,The sun rises in the east. (太陽は東から昇る。),,
hat,1750,56.38,43,(名) 帽子,She wore a big hat. (彼女は大きな帽子をかぶっていた。),,
academic,1751,56.37,43,(形) 学術的な、大学の (名) 大学教員,He has a strong academic background. (彼は強力な学術的背景を持っている。),,
voter,1752,56.37,43,(名) 投票者、有権者,Voter turnout was low. (投票率は低かった。),,
meanwhile,1753,56.36,43,(副) その間に、一方,He was studying. Meanwhile, I was cooking dinner. (彼は勉強していた。一方、私は夕食を作っていた。),
furthermore,1754,56.36,43,(副) その上、さらに,It's too expensive, and furthermore, it's too small. (それは高すぎるし、その上、小さすぎる。)
accuse,1755,56.36,43,(動) 非難する、告発する,She accused him of lying. (彼女は彼が嘘をついていると非難した。),,
scientific,1756,56.35,43,(形) 科学の、科学的な,He made a significant scientific discovery. (彼は重要な科学的発見をした。),,
wage,1757,56.35,43,(名) 賃金、給料 (動) (戦争などを)行う,The company increased its wages. (その会社は賃金を引き上げた。),,
absence,1758,56.35,43,(名) 不在、欠席,His absence was noted. (彼の欠席は注目された。),,
construct,1759,56.33,43,(動) 建設する、構築する (名) 構成物,They are constructing a new building. (彼らは新しい建物を建設している。),,
remark,1760,56.33,43,(名) 発言、コメント (動) 述べる、気づく,He made a rude remark. (彼は失礼な発言をした。),,
medicine,1761,56.33,43,(名) 薬、医学,She is studying medicine. (彼女は医学を学んでいる。),,
professor,1762,56.33,43,(名) 教授,He is a professor at the university. (彼はその大学の教授だ。),,
rare,1763,56.33,43,(形) 珍しい、まれな,It's rare to see him smile. (彼が笑うのは珍しい。),,
intention,1764,56.33,43,(名) 意図、目的,He has no intention of quitting. (彼には辞めるつもりはない。),,
dozen,1765,56.32,43,(名) ダース (12個),I bought a dozen eggs. (私は卵を1ダース買った。),,
settlement,1766,56.32,43,(名) 解決、和解、定住地,They reached a settlement in the dispute. (彼らはその紛争で和解に達した。),,
gap,1767,56.32,43,(名) 隙間、隔たり、ギャップ,There is a gap between their expectations and reality. (彼らの期待と現実には隔たりがある。),,
widely,1768,56.3,43,(副) 広く、広範囲に,His work is widely recognized. (彼の仕事は広く認められている。),,
minimum,1769,56.3,43,(名) 最小限、最低限 (形) 最小限の,The minimum age for voting is 18. (投票の最低年齢は18歳だ。),,
northern,1770,56.3,43,(形) 北の、北部の,They live in the northern part of the country. (彼らは国の北部に住んでいる。),,
estate,1771,56.3,43,(名) 不動産、財産、屋敷,He inherited a large estate. (彼は広大な屋敷を相続した。),,
equally,1772,56.29,43,(副) 同じくらいに、等しく,They were equally responsible for the accident. (彼らは事故に対して等しく責任があった。),,
expose,1773,56.29,43,(動) さらす、暴く,He exposed the truth. (彼は真実を暴いた。),,
alive,1774,56.29,43,(形) 生きている、活気のある,Is he still alive? (彼はまだ生きているのですか？),,
shut,1775,56.28,42,(動) 閉める、閉じる (形) 閉まった,Please shut the door quietly. (静かにドアを閉めてください。),,
victory,1776,56.27,42,(名) 勝利、優勝,They celebrated their victory. (彼らは勝利を祝った。),,
resolve,1777,56.27,42,(動) 解決する、決意する (名) 決意,We need to resolve this issue quickly. (私たちはこの問題を迅速に解決する必要がある。),,
critic,1778,56.27,42,(名) 批評家、評論家,She is a famous literary critic. (彼女は有名な文芸評論家だ。),,
variable,1779,56.26,42,(形) 変わりやすい (名) 変数,The weather here is very variable. (ここの天気はとても変わりやすい。),,
enormous,1780,56.26,42,(形) 巨大な、莫大な,They built an enormous house. (彼らは巨大な家を建てた。),,
sweet,1781,56.26,42,(形) 甘い、優しい (名) 甘いもの、お菓子,This cake is too sweet. (このケーキは甘すぎる。),,
permanent,1782,56.25,42,(形) 永久の、永続的な,He is looking for a permanent job. (彼は永続的な仕事を探している。),,
emotion,1783,56.25,42,(名) 感情、感動,She showed no emotion. (彼女は感情を表さなかった。),,
pursue,1784,56.25,42,(動) 追求する、追いかける,He decided to pursue a career in music. (彼は音楽のキャリアを追求することに決めた。),,
tall,1785,56.24,42,(形) 背が高い、高い,He is a very tall man. (彼はとても背が高い男性だ。),,
urge,1786,56.24,42,(動) 促す、推進する (名) 強い衝動,I urge you to reconsider your decision. (あなたの決断を再考するよう強く促します。),,
enemy,1787,56.24,42,(名) 敵,They became bitter enemies. (彼らは宿敵となった。),,
appoint,1788,56.23,42,(動) 指名する、任命する,She was appointed as the new manager. (彼女は新しいマネージャーに任命された。),,
milk,1789,56.23,42,(名) 牛乳 (動) 乳を搾る,Would you like some milk in your coffee? (コーヒーにミルクはいかがですか？),,
talent,1790,56.23,42,(名) 才能、才能のある人,She has a great talent for singing. (彼女は歌に素晴らしい才能がある。),,
smell,1791,56.22,42,(動) 匂いがする、嗅ぐ (名) 匂い、臭い,I love the smell of fresh bread. (焼きたてのパンの匂いが大好きだ。),,
prior,1792,56.22,42,(形) 事前の、以前の (副) ～より前に,You need to get prior approval. (事前の承認を得る必要がある。),,
priority,1793,56.22,42,(名) 優先事項、優先順位,Education is a top priority. (教育は最優先事項だ。),,
online,1794,56.22,42,(形) オンラインの (副) オンラインで,I bought it online. (それをオンラインで買った。),,
phrase,1795,56.19,42,(名) フレーズ、句 (動) 表現する,He used a common phrase. (彼はよくあるフレーズを使った。),,
pilot,1796,56.19,42,(名) パイロット、操縦士 (動) 操縦する (形) 試験的な,The pilot announced the landing. (パイロットが着陸をアナウンスした。),,
stable,1797,56.19,42,(形) 安定した、しっかりした (名) 馬小屋,The economy is finally stable. (経済はようやく安定している。),,
merely,1798,56.18,42,(副) 単に、ただ～だけ,He is merely a child. (彼は単なる子供だ。),,
resolution,1799,56.18,42,(名) 解決、決議、決意,They passed a resolution to protect the environment. (彼らは環境保護のための決議を採択した。),,
communicate,1800,56.18,42,(動) 伝える、意思疎通する,We need to communicate more effectively. (私たちはもっと効果的に意思疎通を図る必要がある。),,
injury,1801,56.17,41,(名) けが、負傷,He suffered a serious injury. (彼は重傷を負った。),,
vast,1802,56.17,41,(形) 広大な、莫大な,The desert is a vast area. (その砂漠は広大な地域だ。),,
exhibition,1803,56.17,41,(名) 展覧会、展示会,The art exhibition was very popular. (その美術展はとても人気があった。),,
producer,1804,56.17,41,(名) 生産者、プロデューサー,He is a film producer. (彼は映画プロデューサーだ。),,
regional,1805,56.17,41,(形) 地域の、地方の,They discussed regional issues. (彼らは地域の問題について話し合った。),,
immediate,1806,56.16,41,(形) 即座の、直接の,He needs immediate medical attention. (彼は即座に医療手当が必要だ。),,
incident,1807,56.16,41,(名) 出来事、事件,The incident happened last night. (その出来事は昨夜起こった。),,
childhood,1808,56.16,41,(名) 子供時代、幼少期,She had a happy childhood. (彼女は幸せな子供時代を過ごした。),,
draft,1809,56.16,41,(名) 草稿、下書き (動) 下書きする、徴兵する,Please submit the first draft by Friday. (金曜日までに初稿を提出してください。),,
slip,1810,56.16,41,(動) 滑る、滑り落ちる (名) 滑ること、伝票,She slipped on the ice. (彼女は氷の上で滑った。),,
accompany,1811,56.16,41,(動) 同伴する、付き添う,I will accompany you to the station. (駅まで同行します。),,
politician,1812,56.15,41,(名) 政治家,He is a well-known politician. (彼は有名な政治家だ。),,
angry,1813,56.15,41,(形) 怒っている、腹を立てた,She was angry about the delay. (彼女は遅延に腹を立てていた。),,
knock,1814,56.15,41,(動) ノックする、たたく (名) ノック,Someone knocked on the door. (誰かがドアをノックした。),,
seed,1815,56.15,41,(名) 種 (動) 種をまく,Plant the seeds in the spring. (春に種をまきなさい。),,
salary,1816,56.15,41,(名) 給料、給与,He earns a good salary. (彼は良い給料をもらっている。),,
illustrate,1817,56.13,41,(動) 説明する、例証する、挿絵を入れる,The speaker used examples to illustrate his point. (講演者は自分の主張を例を使って説明した。),,
imply,1818,56.13,41,(動) ほのめかす、暗に示す,His silence implied consent. (彼の沈黙は同意を暗に示した。),,
breakfast,1819,56.13,41,(名) 朝食 (動) 朝食をとる,I had toast for breakfast. (朝食にトーストを食べた。),,
temporary,1820,56.12,41,(形) 一時的な、仮の,This is a temporary solution. (これは一時的な解決策だ。),,
liberal,1821,56.12,41,(形) 自由主義の、寛大な (名) 自由主義者,He has very liberal ideas. (彼は非常に自由主義的な考えを持っている。),,
lake,1822,56.11,41,(名) 湖,We went fishing in the lake. (私たちはその湖で釣りをした。),,
qualify,1823,56.11,41,(動) 資格を与える/得る、適任である,She needs to qualify for the final. (彼女は決勝に進む資格を得る必要がある。),,
competitive,1824,56.1,41,(形) 競争力のある、競争の激しい,The market is very competitive. (市場は非常に競争が激しい。),,
truly,1825,56.09,41,(副) 本当に、心から,I'm truly sorry. (心から申し訳ありません。),,
hi,1826,56.08,41,(間) やあ、こんにちは,Hi, how are you? (やあ、元気？),
yellow,1827,56.08,41,(形) 黄色の (名) 黄色,The sun is yellow. (太陽は黄色い。),,
habit,1828,56.08,41,(名) 習慣、癖,He has a bad habit of biting his nails. (彼には爪を噛む悪い癖がある。),,
disk,1829,56.08,41,(名) ディスク、円盤,Save the file to a disk. (ファイルをディスクに保存してください。),,
core,1830,56.08,41,(名) 核心、中心部 (形) 中心の、主要な,The core of the problem is communication. (問題の核心はコミュニケーションだ。),,
emotional,1831,56.08,41,(形) 感情的な、情緒的な,She was very emotional after the news. (彼女はそのニュースの後、とても感情的になっていた。),,
aircraft,1832,56.07,40,(名) 航空機,The aircraft landed safely. (その航空機は安全に着陸した。),,
self,1833,56.07,40,(名) 自己、自身 (代) 自分自身,He needs to find his true self. (彼は本当の自分を見つける必要がある。),,
metal,1834,56.07,40,(名) 金属 (形) 金属製の,This table is made of metal. (このテーブルは金属製だ。),,
existence,1835,56.07,40,(名) 存在、生存,Do you believe in the existence of aliens? (あなたは宇宙人の存在を信じますか？),,
bone,1836,56.06,40,(名) 骨,He broke a bone in his leg. (彼は脚の骨を折った。),,
panel,1837,56.05,40,(名) パネル、委員会,The panel discussed the issue. (委員会はその問題について議論した。),,
prime,1838,56.05,40,(形) 最も重要な、最高の (名) 最盛期,This is a prime example of his work. (これは彼の作品の最高の例だ。),,
appointment,1839,56.04,40,(名) 約束、予約、任命,I have an appointment with the dentist. (歯医者の予約がある。),,
emphasize,1840,56.03,40,(動) 強調する、力説する,He emphasized the importance of teamwork. (彼はチームワークの重要性を強調した。),,
maximum,1841,56.03,40,(名) 最大限、最高 (形) 最大限の,The maximum speed limit is 100 km/h. (最高速度制限は時速100kmだ。),,
effectively,1842,56.02,40,(副) 効果的に、効率的に,We need to work more effectively. (私たちはもっと効果的に働く必要がある。),,
elsewhere,1843,56.01,40,(副) 他の場所で/へ,I looked for it elsewhere. (他の場所でそれを探した。),,
bother,1844,56.01,40,(動) 面倒をかける、悩ませる,Don't bother me while I'm working. (私が仕事をしている間、邪魔しないで。),,
initiative,1845,56.01,40,(名) 主導権、自発性、率先,He took the initiative to start the project. (彼は率先してプロジェクトを始めた。),,
sharp,1846,56.01,40,(形) 鋭い、急な、鮮明な,Be careful, the knife is sharp. (気をつけて、ナイフは鋭い。),
diet,1847,56,40,(名) 食事、ダイエット (動) ダイエットする,She is on a strict diet. (彼女は厳しいダイエットをしている。),,
motion,1848,56,40,(名) 動き、運動、提案 (動) 動作で示す,The judge denied the motion. (裁判官はその申し立てを却下した。),,
gray,1849,56,40,(形) 灰色の、曇った (名) 灰色,The sky was gray and cloudy. (空は灰色で曇っていた。),,
plastic,1850,56,40,(名) プラスチック (形) プラスチック製の,This bottle is made of plastic. (このボトルはプラスチック製だ。),,
complicate,1851,55.99,40,(動) 複雑にする、難しくする,Don't complicate things further. (これ以上物事を複雑にしないでください。),,
discipline,1852,55.99,40,(名) 規律、しつけ、分野 (動) 訓練する、しつける,Self-discipline is important for success. (自己規律は成功のために重要だ。),,
disappoint,1853,55.99,40,(動) がっかりさせる、期待を裏切る,I don't want to disappoint you. (あなたをがっかりさせたくない。),,
boss,1854,55.98,40,(名) 上司、社長 (動) 指図する,My boss is very demanding. (私の上司はとても要求が多い。),,
assumption,1855,55.98,40,(名) 仮定、前提,That's a fair assumption. (それは妥当な仮定だ。),,
freeze,1856,55.98,40,(動) 凍る、凍らせる、凍結する (名) 凍結,The water will freeze if it gets too cold. (寒すぎると水は凍るだろう。),,
extreme,1857,55.98,40,(形) 極端な、過激な (名) 極端,He took extreme measures. (彼は極端な手段を講じた。),,
passage,1858,55.98,40,(名) 通路、一節、経過,Read the first passage of the text. (本文の最初の部分を読みなさい。),,
reputation,1859,55.98,40,(名) 評判、名声,He has a good reputation. (彼は良い評判を持っている。),,
forth,1860,55.98,40,(副) 前方へ、先へ,They went back and forth. (彼らは行ったり来たりした。),,
negotiation,1861,55.97,40,(名) 交渉,The negotiations are still ongoing. (交渉はまだ続いている。),,
mechanism,1862,55.96,39,(名) 仕組み、機構、メカニズム,The human body has a complex mechanism. (人体は複雑な仕組みを持っている。),,
coat,1863,55.96,39,(名) コート、上着 (動) 覆う,He put on his coat. (彼はコートを着た。),,
democracy,1864,55.96,39,(名) 民主主義,Democracy is a system of government. (民主主義は政治体制の一つだ。),,
pocket,1865,55.96,39,(名) ポケット (動) ポケットに入れる,He put his hands in his pockets. (彼はポケットに手を入れた。),,
lucky,1866,55.96,39,(形) 幸運な、運の良い,You're lucky to have such good friends. (あなたはそんなに良い友達がいて幸運だ。),,
crash,1867,55.96,39,(名) 衝突、墜落 (動) 衝突する、墜落する,The plane crashed into the mountain. (飛行機は山に墜落した。),,
observation,1868,55.96,39,(名) 観察、観測,His observations were very accurate. (彼の観察は非常に正確だった。),,
meat,1869,55.95,39,(名) 肉,I don't eat much meat. (私はあまり肉を食べない。),,
concentration,1870,55.95,39,(名) 集中、濃度,He has a high concentration level. (彼は高い集中力を持っている。),,
implication,1871,55.95,39,(名) 暗示、含意、影響,The implications of his decision are serious. (彼の決断の影響は深刻だ。),,
deserve,1872,55.94,39,(動) ～に値する、～を受けるにふさわしい,You deserve a break. (あなたは休憩するに値する。),,
unusual,1873,55.94,39,(形) 珍しい、普通ではない,It's unusual for him to be late. (彼が遅れるのは珍しい。),,
defend,1874,55.94,39,(動) 守る、防衛する,They defended their country. (彼らは祖国を守った。),,
classic,1875,55.93,39,(形) 古典の、典型的な (名) 古典,This is a classic example of his work. (これは彼の作品の典型的な例だ。),,
king,1876,55.93,39,(名) 王、国王,The king ruled the country wisely. (その王は国を賢く統治した。),,
interaction,1877,55.92,39,(名) 相互作用、交流,Social interaction is important for children. (社会的な交流は子供にとって重要だ。),,
repair,1878,55.92,39,(動) 修理する (名) 修理,I need to repair my car. (車を修理する必要がある。),,
collapse,1879,55.92,39,(動) 崩壊する、倒れる (名) 崩壊,The building collapsed after the earthquake. (地震の後、建物が崩壊した。),,
borrow,1880,55.92,39,(動) 借りる,Can I borrow your pen? (ペンを借りてもいいですか？),,
fundamental,1881,55.9,39,(形) 基本的な、根本的な (名) 基本原理,Respect is a fundamental human right. (尊敬は基本的な人権だ。),,
dish,1882,55.89,39,(名) 皿、料理,She prepared a delicious dish. (彼女は美味しい料理を作った。),,
abroad,1883,55.89,39,(副) 海外へ、外国に,He went abroad for his studies. (彼は留学のために海外へ行った。),,
soul,1884,55.89,39,(名) 魂、精神,She has a kind soul. (彼女は優しい心を持っている。),,
capable,1885,55.88,39,(形) ～できる、有能な,She is capable of handling the situation. (彼女はその状況に対処できる能力がある。),,
defeat,1886,55.88,39,(動) 打ち負かす、敗北させる (名) 敗北,They suffered a heavy defeat. (彼らは大敗を喫した。),,
presidential,1887,55.87,39,(形) 大統領の、社長の,The presidential election will be held next year. (大統領選挙は来年行われる。),,
perfectly,1888,55.87,39,(副) 完璧に、完全に,I understand perfectly. (完璧に理解しています。),,
enhance,1889,55.87,39,(動) 高める、向上させる,Exercise can enhance your mood. (運動は気分を高めることができる。),,
proud,1890,55.87,39,(形) 誇りに思って、自慢に思って,I'm proud of your achievements. (あなたの功績を誇りに思います。),,
emergency,1891,55.87,39,(名) 緊急事態、非常事態 (形) 緊急の,Call an ambulance in an emergency. (緊急時には救急車を呼んでください。),,
educational,1892,55.87,39,(形) 教育の、教育的な,This is a valuable educational tool. (これは貴重な教育ツールだ。),,
distinguish,1893,55.86,39,(動) 区別する、見分ける,It's hard to distinguish between the two. (その2つを区別するのは難しい。),,
substantial,1894,55.86,39,(形) 大量の、かなりの、実質的な,He made a substantial contribution. (彼は多大な貢献をした。),,
nearby,1895,55.85,38,(形) 近くの (副) 近くに,There's a good restaurant nearby. (近くに良いレストランがある。),,
manufacturer,1896,55.85,38,(名) 製造業者、メーカー,The car manufacturer announced a recall. (その自動車メーカーはリコールを発表した。),,
slide,1897,55.85,38,(動) 滑る、滑らせる (名) 滑り台、スライド,The children love to slide down the hill. (子供たちは丘を滑り降りるのが大好きだ。),,
valuable,1898,55.85,38,(形) 貴重な、価値のある,Time is valuable. (時間は貴重だ。),,
personally,1899,55.85,38,(副) 個人的に、自分で,Personally, I think it's a good idea. (個人的には、良いアイデアだと思います。),
breast,1900,55.85,38,(名) 胸、乳房,She held the baby to her breast. (彼女は赤ちゃんを胸に抱いた。),,
cope,1901,55.83,38,(動) 対処する、うまくやる,It's difficult to cope with stress. (ストレスに対処するのは難しい。),,
approximately,1902,55.83,38,(副) およそ、約,The project will take approximately two weeks. (そのプロジェクトは約2週間かかるだろう。),,
accommodation,1903,55.83,38,(名) 宿泊施設、収容能力,We booked our accommodation in advance. (私たちは宿泊施設を事前に予約した。),,
highlight,1904,55.83,38,(動) 強調する、目立たせる (名) ハイライト,The report highlights the main problems. (その報告書は主な問題を強調している。),,
reporter,1905,55.83,38,(名) 記者、報道官,The reporter asked a difficult question. (その記者は難しい質問をした。),,
climate,1906,55.83,38,(名) 気候、風潮,The climate in this region is mild. (この地域の気候は穏やかだ。),,
shirt,1907,55.82,38,(名) シャツ,He wore a blue shirt. (彼は青いシャツを着ていた。),,
exception,1908,55.82,38,(名) 例外,There are always exceptions to the rule. (規則には常に例外がある。),,
corporation,1909,55.82,38,(名) 企業、法人,She works for a large corporation. (彼女は大きな企業で働いている。),,
chip,1910,55.81,38,(名) 小片、チップ、ポテトチップス (動) 欠ける,I ate a bag of potato chips. (私はポテトチップスを一袋食べた。),,
winner,1911,55.81,38,(名) 勝者、受賞者,He is the winner of the competition. (彼はその大会の優勝者だ。),,
encounter,1912,55.81,38,(動) 遭遇する、出会う (名) 遭遇,I encountered an old friend yesterday. (昨日、旧友に偶然会った。),,
brown,1913,55.81,38,(形) 茶色の (名) 茶色,She has brown eyes. (彼女は茶色の目をしている。),,
breathe,1914,55.81,38,(動) 呼吸する、息をする,It's hard to breathe in this smoke. (この煙の中では息をするのが難しい。),,
excuse,1915,55.8,38,(名) 言い訳、弁解 (動) 許す、言い訳する,He made an excuse for being late. (彼は遅刻の言い訳をした。),,
partly,1916,55.8,38,(副) 部分的に、いくらか,The damage was partly caused by the storm. (その損害は部分的に嵐によって引き起こされた。),,
tennis,1917,55.79,38,(名) テニス,She plays tennis every Sunday. (彼女は毎週日曜日にテニスをする。),,
urban,1918,55.79,38,(形) 都市の、都会の,Urban areas are usually densely populated. (都市部は通常、人口が密集している。),,
confuse,1919,55.79,38,(動) 困惑させる、混同する,Don't confuse me with your complicated explanation. (あなたの複雑な説明で私を困惑させないでください。),,
southern,1920,55.79,38,(形) 南の、南部の,He lives in the southern part of Japan. (彼は日本の南部に住んでいる。),,
output,1921,55.79,38,(名) 生産量、出力 (動) 出力する,The factory increased its output. (その工場は生産量を増やした。),,
beauty,1922,55.79,38,(名) 美しさ、美人,She is a woman of great beauty. (彼女はとても美しい女性だ。),,
